SpeciesAuthorComadre,Sum of stoch. elast. wrt variance,# matrices
Homo_sapiens_subsp._sapiens     ,1.003,26
Alces_alces   ,1.001,14
Antechinus_agilis   ,1.111,3
Brachyteles_hypoxanthus   ,1,25
Callospermophilus_lateralis     ,1.054,9
Cebus_capucinus     ,1,18
Cercopithecus_mitis ,1,28
Eumetopias_jubatus  ,1.005,4
Felis_catus   ,1.136,3
Gorilla_beringei    ,1,41
Hippocamelus_bisulcus     ,1.002,3
Lepus_americanus    ,1.294,5
Lycaon_pictus ,1.1,3
Macaca_mulatta_3    ,1,24
Macropus_eugenii    ,1.013,15
Marmota_flaviventris_2    ,1.007,8
Marmota_flaviventris_3    ,1.008,8
Microtus_oeconomus  ,1,28
Mustela_erminea     ,1.334,4
Orcinus_orca_2,1.001,50
Ovis_aries_2  ,1.033,6
Pan_troglodytes_subsp._schweinfurthii ,1,45
Papio_cynocephalus  ,1,37
Peromyscus_maniculatus_2  ,1.01,4
Phocarctos_hookeri  ,1.005,16
Propithecus_verreauxi     ,1,24
Puma_concolor_8     , NA,15
Rattus_fuscipes     ,1.246,3
Spermophilus_armatus,1.016,3
Spermophilus_armatus_2    ,1.017,3
Spermophilus_columbianus  ,1.036,3
Spermophilus_columbianus_3,1.003,3
Ursus_americanus_subsp._floridanus    ,1.003,4
Ursus_arctos_subsp._horribilis_5,1.001,7
Ursus_maritimus_2   ,1.019,5
Brachyteles_hypoxanthus_2 ,1,25
Cebus_capucinus_2   ,1,22
Chlorocebus_aethiops_2    ,1.075,8
Erythrocebus_patas  ,1.051,9
Gorilla_beringei_subsp._beringei,1,41